TeamFullName,TeamName,TeamWebName,State,Region
Boston College Eagles,Boston College,boston-college,MA,Northeast
Clemson Tigers,Clemson,clemson,SC,South Atlantic
Duke Blue Devils,Duke,duke,NC,South Atlantic
Florida State Seminoles,Florida State,florida-state,FL,South Atlantic
Georgia Tech Yellow Jackets,Georgia Tech,georgia-tech,GA,South Atlantic
Louisville Cardinals,Louisville,louisville,KY,East South Central
Miami Hurricanes,Miami,miami,FL,South Atlantic
NC State Wolfpack,North Carolina State,north-carolina-state,NC,South Atlantic
North Carolina Tar Heels,North Carolina,north-carolina,NC,South Atlantic
Pittsburgh Panthers,Pittsburgh,pittsburgh,PA,Northeast
Syracuse Orange,Syracuse,syracuse,NY,Northeast
Virginia Cavaliers,Virginia,virginia,VA,South Atlantic
Virginia Tech Hokies,Virginia Tech,virginia-tech,VA,South Atlantic
Wake Forest Demon Deacons,Wake Forest,wake-forest,NC,South Atlantic
Baylor Bears,Baylor,baylor,TX,West South Central
Iowa State Cyclones,Iowa State,iowa-state,IA,West North Central
Kansas Jayhawks,Kansas,kansas,KS,West North Central
Kansas State Wildcats,Kansas State,kansas-state,KS,West North Central
Oklahoma Sooners,Oklahoma,oklahoma,OK,West South Central
Oklahoma State Cowboys,Oklahoma State,oklahoma-state,OK,West South Central
TCU Horned Frogs,Tcu,tcu,TX,West South Central
Texas Longhorns,Texas,texas,TX,West South Central
Texas Tech Red Raiders,Texas Tech,texas-tech,TX,West South Central
West Virginia Mountaineers,West Virginia,west-virginia,WV,South Atlantic
Illinois Fighting Illini,Illinois,illinois,IL,East North Central
Indiana Hoosiers,Indiana,indiana,IN,East North Central
Iowa Hawkeyes,Iowa,iowa,IA,West North Central
Maryland Terrapins,Maryland,maryland,MD,South Atlantic
Michigan State Spartans,Michigan State,michigan-state,MI,East North Central
Michigan Wolverines,Michigan,michigan,MI,East North Central
Minnesota Golden Gophers,Minnesota,minnesota,MN,West North Central
Nebraska Cornhuskers,Nebraska,nebraska,NE,West North Central
Northwestern Wildcats,Northwestern,northwestern,IL,East North Central
Ohio State Buckeyes,Ohio State,ohio-state,OH,East North Central
Penn State Nittany Lions,Penn State,penn-state,PA,Northeast
Purdue Boilermakers,Purdue,purdue,IN,East North Central
Rutgers Scarlet Knights,Rutgers,rutgers,NJ,Northeast
Wisconsin Badgers,Wisconsin,wisconsin,WI,East North Central
Arizona State Sun Devils,Arizona State,arizona-state,AZ,West
Arizona Wildcats,Arizona,arizona,AZ,West
California Golden Bears,California,california,CA,Pacific
Colorado Buffaloes,Colorado,colorado,CO,West
Oregon Ducks,Oregon,oregon,OR,Pacific
Oregon State Beavers,Oregon State,oregon-state,OR,Pacific
Stanford Cardinal,Stanford,stanford,CA,Pacific
UCLA Bruins,Ucla,ucla,CA,Pacific
USC Trojans,Usc,usc,CA,Pacific
Utah Utes,Utah,utah,UT,West
Washington Huskies,Washington,washington,WA,Pacific
Washington State Cougars,Washington State,washington-state,WA,Pacific
Alabama Crimson Tide,Alabama,alabama,AL,East South Central
Arkansas Razorbacks,Arkansas,arkansas,AR,West South Central
Auburn Tigers,Auburn,auburn,AL,East South Central
Florida Gators,Florida,florida,FL,South Atlantic
Georgia Bulldogs,Georgia,georgia,GA,South Atlantic
Kentucky Wildcats,Kentucky,kentucky,KY,East South Central
LSU Tigers,Lsu,lsu,LA,West South Central
Mississippi State Bulldogs,Mississippi State,mississippi-state,MS,East South Central
Missouri Tigers,Missouri,missouri,MO,West North Central
Ole Miss Rebels,Ole Miss,ole-miss,MS,East South Central
South Carolina Gamecocks,South Carolina,south-carolina,SC,South Atlantic
Tennessee Volunteers,Tennessee,tennessee,TN,East South Central
Texas A&M Aggies,Texas Am,texas-am,TX,West South Central
Vanderbilt Commodores,Vanderbilt,vanderbilt,TN,East South Central
Cincinnati Bearcats,Cincinnati,cincinnati,OH,East North Central
East Carolina Pirates,East Carolina,east-carolina,NC,South Atlantic
Houston Cougars,Houston,houston,TX,West South Central
Memphis Tigers,Memphis,memphis,TN,East South Central
Navy Midshipmen,Navy,navy,MD,South Atlantic
SMU Mustangs,Smu,smu,TX,West South Central
South Florida Bulls,South Florida,south-florida,FL,South Atlantic
Temple Owls,Temple,temple,PA,Northeast
Tulane Green Wave,Tulane,tulane,LA,West South Central
Tulsa Golden Hurricane,Tulsa,tulsa,OK,West South Central
UCF Knights,Central Florida,central-florida,FL,South Atlantic
Charlotte 49ers,Charlotte,charlotte,NC,South Atlantic
FIU Golden Panthers,Florida International,florida-international,FL,South Atlantic
Florida Atlantic Owls,Florida Atlantic,florida-atlantic,FL,South Atlantic
Louisiana Tech Bulldogs,Louisiana Tech,louisiana-tech,LA,West South Central
Marshall Thundering Herd,Marshall,marshall,WV,South Atlantic
Middle Tennessee State Blue Raiders,Middle Tennessee State,middle-tennessee-state,TN,East South Central
North Texas Mean Green,North Texas,north-texas,TX,West South Central
Old Dominion Monarchs,Old Dominion,old-dominion,VA,South Atlantic
Rice Owls,Rice,rice,TX,West South Central
Southern Miss Golden Eagles,Southern Mississippi,southern-mississippi,MS,East South Central
UAB Blazers,Alabama Birmingham,alabama-birmingham,AL,East South Central
UTEP Miners,Utep,utep,TX,West South Central
UTSA Roadrunners,Utsa,utsa,TX,West South Central
Western Kentucky Hilltoppers,Western Kentucky,western-kentucky,KY,East South Central
Army Black Knights,Army,army,NY,Northeast
Brigham Young Cougars,Byu,byu,UT,West
Connecticut Huskies,Uconn,uconn,CT,Northeast
Liberty Flames,Liberty,liberty,VA,South Atlantic
New Mexico State Aggies,New Mexico State,new-mexico-state,NM,West
Notre Dame Fighting Irish,Notre Dame,notre-dame,IN,East North Central
UMass Minutemen,Massachusetts,massachusetts,MA,Northeast
Akron Zips,Akron,akron,OH,East North Central
Ball State Cardinals,Ball State,ball-state,IN,East North Central
Bowling Green Falcons,Bowling Green,bowling-green,OH,East North Central
Buffalo Bulls,Buffalo,buffalo,NY,Northeast
Central Michigan Chippewas,Central Michigan,central-michigan,MI,East North Central
Eastern Michigan Eagles,Eastern Michigan,eastern-michigan,MI,East North Central
Kent State Golden Flashes,Kent State,kent-state,OH,East North Central
Miami (OH) RedHawks,Miami Ohio,miami-ohio,OH,East North Central
Northern Illinois Huskies,Northern Illinois,northern-illinois,IL,East North Central
Ohio Bobcats,Ohio,ohio,OH,East North Central
Toledo Rockets,Toledo,toledo,OH,East North Central
Western Michigan Broncos,Western Michigan,western-michigan,MI,East North Central
Air Force Falcons,Air Force,air-force,CO,West
Boise State Broncos,Boise State,boise-state,ID,West
Colorado State Rams,Colorado State,colorado-state,CO,West
Fresno State Bulldogs,Fresno State,fresno-state,CA,Pacific
Hawaii Rainbow Warriors,Hawaii,hawaii,HI,Pacific
Nevada Wolf Pack,Nevada,nevada,NV,West
New Mexico Lobos,New Mexico,new-mexico,NM,West
San Diego State Aztecs,San Diego State,san-diego-state,CA,Pacific
San Jose State Spartans,San Jose State,san-jose-state,CA,Pacific
UNLV Rebels,Unlv,unlv,NV,West
Utah State Aggies,Utah State,utah-state,UT,West
Wyoming Cowboys,Wyoming,wyoming,WY,West
Appalachian State Mountaineers,Appalachian State,appalachian-state,NC,South Atlantic
Arkansas State Red Wolves,Arkansas State,arkansas-state,AR,West South Central
Coastal Carolina Chanticleers,Coastal Carolina,coastal-carolina,SC,South Atlantic
Georgia Southern Eagles,Georgia Southern,georgia-southern,GA,South Atlantic
Georgia State Panthers,Georgia State,georgia-state,GA,South Atlantic
Louisiana Ragin' Cajuns,Louisiana,louisiana,LA,West South Central
Louisiana-Monroe Warhawks,Louisiana Monroe,louisiana-monroe,LA,West South Central
South Alabama Jaguars,South Alabama,south-alabama,AL,East South Central
Texas State Bobcats,Texas State,texas-state,TX,West South Central
Troy Trojans,Troy,troy,AL,East South Central
